OriginationVintage,GrossApproval,SBAGuaranteedApproval,TermInMonths,InitialInterestRate,JobsSupported,seasonedCount,MPRIME,PP,IP,CORPORATIONCount,INDIVIDUALCount,PARTNERSHIPCount,LoanPortfolioAmortized,GrossApprovalChargedOff,SBAGuaranteedApprovalChargedOff,GrossChargeOffAmount,CORPORATIONChargedOff,INDIVIDUALChargedOff,PARTNERSHIPChargedOff,MajorState,OtherState,TermInMonthsChargedOff,InitialInterestRateChargedOff,seasonedTime,seasonedChargedOffPool,JobsSupportedChargedOff,MPRIMEChargedOff,rollSumChargeOff,rollAvgPortfolioAmortized,rollLossRate,rollLossRateDiff,unEmpScore,unEmpScoreDiff,ChargedOffLoans,LoansInPool,seasonedRatioPool,CorporationRatio,IndividualRatio,PartnerShipRatio
2004-02-01,655010883,466621755,138.3907303735593,4.0,8.613827448421189,3659.0,4.0,651644080.4054809,467413525.4576229,358011.0,181716.0,32047.0,80521343856.75659,32186433.0,23456038.0,17077123.0,136.0,68.0,5.0,96.0,113.0,90.63517882959559,4.0,55.82639113157409,0.6925645496609704,8.639057644545865,4.0,531034391.0,78505747733.52974,0.00676427403509967,-0.00030814760326689644,5.722240281220618,-0.02633365603405302,209.0,571774.0,0.006399381573838615,0.6261407479178837,0.3178108833210324,0.056048368761083926
2004-03-01,1032832252,734394932,145.62717692320862,4.0,9.135545778831856,4000.0,4.0,661104965.6904472,466946775.79783344,363317.0,183740.0,32258.0,80893071143.06616,40133675.0,28653557.0,21983097.0,178.0,87.0,10.0,160.0,115.0,107.21266566762635,4.0,61.92345555314613,0.6482124879856556,23.086957720288456,4.0,497299590.0,78910990484.26662,0.006302032035691559,-0.000987532309573269,5.696351190292345,-0.025889090928272296,275.0,579315.0,0.0069047064205138824,0.6271493056454606,0.3171676894263052,0.055683004928234206
2004-04-01,995823848,704041567,150.2343434117075,4.0,9.82308712393881,3623.0,4.0,670185436.3484795,466313404.60714036,368265.0,185662.0,32465.0,81218709554.71768,40172578.0,28877209.0,23418864.0,159.0,75.0,5.0,136.0,103.0,98.26856716875763,4.0,58.19779862080415,0.6241186165135935,7.4794059609381565,4.0,474524763.0,79309344165.01625,0.005983213806593489,-0.0013063854016194002,5.657866923627613,-0.03848426666473248,239.0,586392.0,0.006178460824840721,0.6280184586420006,0.3166175527633392,0.05536398859466023
2004-05-01,1214017554,856063717,164.39846116920316,4.0,12.076149219338223,3575.0,4.0,676138921.5982037,466365273.0306943,372469.0,187053.0,32543.0,81756588187.11948,23056980.0,16040464.0,14045273.0,101.0,56.0,6.0,87.0,76.0,118.25585632974169,4.0,56.63110606678845,0.5331129555117939,15.050363634797273,4.0,438070963.0,79719067609.98706,0.005495184227984113,-0.0018499549629701793,5.62969716816265,-0.028169755464962698,163.0,592065.0,0.00603818837458725,0.6291015344598988,0.3159332167920752,0.054965248748025976
2004-06-01,1457448888,1027666478,171.32368117117807,4.01,12.472366659076966,3791.0,4.01,686479885.5321114,467227074.1349133,378018.0,189009.0,32793.0,82527557189.58736,23255576.0,16861801.0,13945740.0,111.0,71.0,2.0,105.0,79.0,130.0235844064209,4.01,61.119327479215876,0.5266430465504162,10.806131191317204,4.01,392956621.0,80151807447.9027,0.004902654519118799,-0.0026323616777919343,5.573348033703565,-0.056349134459085626,184.0,599820.0,0.0063202294021539795,0.6302190657197159,0.31510953285985793,0.054671401420426126
2004-07-01,1295928882,910193784,164.61565999190378,4.25,10.61392966547064,3813.0,4.25,696376379.800124,467761975.61055094,383229.0,190837.0,32990.0,83127109691.78723,23639450.0,17213602.0,14494493.0,99.0,51.0,2.0,69.0,83.0,119.42826451397782,4.25,63.083671295022185,0.5926339748482407,5.58585208878986,4.25,353831633.0,80595754735.97203,0.004390201868065336,-0.00310660287366679,5.508065971495818,-0.06528206220774635,152.0,607056.0,0.006281133865738911,0.6312910176326402,0.3143647373553675,0.0543442450119923
2004-08-01,1425892048,1005240387,165.29560348386207,4.43,12.242466347634755,3790.0,4.43,706768159.9165534,468924943.8235965,388719.0,192742.0,33190.0,83846233579.87068,33739057.0,22734037.0,20485066.0,190.0,100.0,7.0,182.0,115.0,97.06626026979849,4.43,58.049985535804474,0.7475899272181988,8.601624666476544,4.43,317411408.0,81065721027.14989,0.003915482450266434,-0.0036608285723466723,5.4703995381651636,-0.03766643333065467,297.0,614651.0,0.006166100762871939,0.6324223014360996,0.3135795760521011,0.053998122511799376
2004-09-01,1627632082,1157837320,178.1295032632565,4.58,12.278771773435713,4453.0,4.58,717321724.3780447,470987245.64354223,394347.0,194555.0,33433.0,84756543937.49265,22782525.0,15732542.0,13053508.0,102.0,68.0,6.0,89.0,87.0,101.27905502490212,4.58,57.51984585293088,0.693315697205686,6.6566133793306745,4.58,266765257.0,81546205898.59024,0.0032713386730922303,-0.004137241467966414,5.4293177181176775,-0.04108182004748606,176.0,622335.0,0.007155310242875621,0.6336571139338137,0.3126210160122763,0.053721870053909875
2004-10-01,1315142835,906306730,162.21789928011887,4.75,10.510308331642166,4251.0,4.75,727328992.6493137,471992843.98626745,400264.0,196454.0,33641.0,85344357779.84332,12345000.0,7878155.0,6434498.0,48.0,22.0,0.0,43.0,27.0,130.8724909076046,4.75,57.61795916324785,0.45845689904635917,5.618620442496058,4.75,242613064.0,82040847922.3684,0.002957222775532183,-0.0043739155076608915,5.39833350233306,-0.030984215784617852,70.0,630359.0,0.006743776165645291,0.634977845957621,0.311654152633658,0.05336800140872106
2004-11-01,1091003151,743930903,164.18761806765855,4.93,9.911391740792507,4300.0,4.93,732158243.4734582,472225717.2154729,404595.0,197680.0,33695.0,85703202687.36987,11016666.0,8062036.0,7195339.0,55.0,48.0,3.0,52.0,54.0,109.11301788560623,4.93,65.78971956706974,0.5553254683344315,5.593722269374661,4.93,216522348.0,82539960216.78809,0.002623242698825057,-0.00473990020042883,5.381209101599562,-0.017124400733497858,106.0,635970.0,0.0067613252197430695,0.6361856691353366,0.31083227196251395,0.05298205890214947
